country,btu
Australia,270.10256
Austria,185.90759
Belgium,263.64173
Canada,385.0955
Chile,79.55941
Czech Republic,155.97227
Denmark,150.57908
Estonia,172.70665
Finland,247.97123
France,169.77827
Germany,170.69997
Greece,124.81914
Guam,81.79928
Hungary,105.20436
Iceland,664.99854
Ireland,135.86863
Israel,128.55196
Italy,125.53075
Japan,170.66026
"Korea, South",221.70176
Luxembourg,399.43902
Mexico,64.76434
Netherlands,257.40588
New Zealand,201.63898
Norway,399.53743
Poland,105.43167
Portugal,104.85919
Puerto Rico,118.12497
Slovakia,141.13522
Slovenia,154.52447
Spain,134.16467
Sweden,244.87859
Switzerland,162.83141
Turkey,57.70662
United Kingdom,142.97089
United States,316.94623
