year,fertility
1960,3.654
1961,3.62
1962,3.461
1963,3.319
1964,3.19
1965,2.913
1966,2.721
1967,2.558
1968,2.464
1969,2.456
1970,2.48
1971,2.266
1972,2.01
1973,1.879
1974,1.835
1975,1.774
1976,1.738
1977,1.79
1978,1.76
1979,1.808
1980,1.8395
1981,1.812
1982,1.8275
1983,1.799
1984,1.8065
1985,1.844
1986,1.8375
1987,1.872
1988,1.934
1989,2.014
1990,2.081
1991,2.0625
1992,2.046
1993,2.0195
1994,2.0015
1995,1.978
1996,1.976
1997,1.971
1998,1.999
1999,2.0075
2000,2.056
2001,2.0305
2002,2.0205
2003,2.0475
2004,2.0515
2005,2.057
2006,2.108
2007,2.12
2008,2.072
2009,2.002
2010,1.931
2011,1.8945
2012,1.8805
2013,1.8575
2014,1.8625
2015,1.8435
2016,1.8205
2017,1.7655
